ID,REVIEW,ENTITY_TAGGED_REVIEW,ENTITY_SENTIMENT
923,আলহামদুলিল্লাহ ভালো এবং জেনুইন প্রোডাক্ট পেয়েছি এজ পিকচার।,আলহামদুলিল্লাহ ভালো এবং জেনুইন _NE_প্রোডাক্ট পেয়েছি এজ এজ পিকচার।,2
925,আলহামদুলিল্লাহ  বইটা অনেক সুন্দর,আলহামদুলিল্লাহ _NE_বইটা অনেক সুন্দর,2
934,আসল জিনিষটা ছবির মত না।,আসল _NE_জিনিষটা ছবির মত না।,1
945,"আলহামদুলিল্লাহ,  অনেক ভালো একটা বই।",আলহামদুলিল্লাহ অনেক ভালো একটা _NE_বই।,2
967,যাকাত বিষয়ে খুবই দরকারি একটি বই।,যাকাত বিষয়ে খুবই দরকারি একটি _NE_বই।,2
968,যাকাত বিষয়ক বিস্তারিত একটি বই,যাকাত বিষয়ক বিস্তারিত একটি _NE_বই,2
972,অনেক সুন্দর একটা বই,অনেক সুন্দর একটা _NE_বই,2
1010,কাপরের মান অনুযায়ী দাম বেশি। রং বা কালার ঠিক আছে।,_NE_কাপরের মান অনুযায়ী দাম বেশি।রং বা কালার ঠিক আছে।,1
1059,মাশাআল্লাহ বইটি খুব ভালো পড়তে পারেন,মাশাআল্লাহ _NE_বইটি খুব ভালো পড়তে পারেন,2
1169,আকর্শনীয় একটি বই।হেদায়েত পাওয়ার জন্য যথেষ্ট।,আকর্শনীয় একটি বই।হেদায়েত পাওয়ার জন্য যথেষ্ট।,2
1222,"পন্যের মান দামের সাথে সামঞ্জস্যতা নাই,দাম অনুপাতে মান ততটা ভালো নয়",_NE_পন্যের মান দামের সাথে সামঞ্জস্যতা নাই দাম অনুপাতে মান ততটা ততটা ভালো নয় নয়,0
1530,"আলহামদুলিল্লাহ ?..যেমনটা অর্ডার করেছি তেমন প্রোডাক্টই পেয়েছি। কাপড়ের মানটাও অনেক ভালো। 
ধন্যবাদ দারাজকে। ??",আলহামদুলিল্লাহ ? যেমনটা অর্ডার অর্ডার তেমন _NE_প্রোডাক্টই প্রোডাক্টই পেয়েছি।কাপড়ের মানটাও অনেক ভালো। ধন্যবাদ দারাজকে।??,2
1545,কম দামে ভালো জিনিস টা পেলাম।,কম দামে ভালো _NE_জিনিস টা টা পেলাম।,2
1548,আপনাদের উন্নতি কামনা করি। দেখানো প্রডাক্ট ডেলিভারি দেয়ার জন্য। উশা ফেশনকে ধন্যবাদ।,আপনাদের উন্নতি কামনা করি।দেখানো _NE_প্রডাক্ট ডেলিভারি দেয়ার জন্য।উশা ফেশনকে ধন্যবাদ।,1
1559,খুব ভাল বই...নিতে পারেন সবাই,খুব ভাল _NE_বই ... নিতে পারেন সবাই,2
1564,প্রডাক্ট ভাল ছিল। প্রাইজ অনুযায়ী পারফেক্ট,_NE_প্রডাক্ট ভাল ছিল।প্রাইজ অনুযায়ী পারফেক্ট,2
1574,দারুন বইঅনেক কিছু জানলাম এবং শিখলাম,দারুন বইঅনেক কিছু জানলাম এবং শিখলাম,2
1620,ছবির থেকেও অনেক সুন্দর প্রোডাক্ট।,ছবির থেকেও অনেক সুন্দর _NE_প্রোডাক্ট।,2
1724,খুব সস্তা কাপর ৫০০ টাকা দা‌মের  আ‌মি রিটার্ণ করব,খুব সস্তা _NE_কাপর ৫০০ টাকা দা‌মের আ‌মি রিটার্ণ রিটার্ণ করব,0
1727,এই কাপরের রং উঠে কেউ কিনবেন না।,এই _NE_কাপরের রং উঠে কেউ কিনবেন কিনবেন না।।,0
1859,"ব্রাউজ ফ্রি পেয়েছি কিন্তূ
বাজার থেকে পেটিকোট মিলিয়ে নিতে পারছিনা ",_NE_ব্রাউজ ফ্রি পেয়েছি কিন্তূ বাজার থেকে পেটিকোট মিলিয়ে নিতে পারছিনা,1
1968,বর্তমান সময়ের যুগ উপযোগী একটি বই।,বর্তমান সময়ের যুগ উপযোগী একটি _NE_বই।,2
2066," 
পণ্যের মান হিসেবে দাম বেশী ",_NE_পণ্যের মান হিসেবে দাম বেশী,0
2079,মাশা আল্লাহ অনেক সুন্দর একটা বই।,মাশা আল্লাহ অনেক সুন্দর একটা বই।,2
2095,সহজে পেয়ে গেলাম কিছু মূল্যবান বই,সহজে পেয়ে গেলাম কিছু মূল্যবান _NE_বই,2
2104,"কাপরটা অনেক কুচকানো ছিলো, কিন্তুু যা দেখেছি তাই পাইছি",_NE_কাপরটা অনেক কুচকানো ছিলো কিন্তুু যা দেখেছি দেখেছি তাই পাইছি,1
2151,শাড়িটা অসাধারণ। ধন্যবাদ। এভাবেই মানসম্মত প্রোডাক্ট বিক্রি করতে থাকুন। শুভ কামনা।,শাড়িটা অসাধারণ।ধন্যবাদ।এভাবেই মানসম্মত _NE_প্রোডাক্ট বিক্রি করতে করতে থাকুন।শুভ কামনা।,2
2172,নাম্বার ওয়ান প্রোডাক্ট শাড়িটা  ডিজাইন অনেক সুন্দর। ধন্যবাদ দাদা। প্যাকেজিং খুব ভালো ছিল।,নাম্বার ওয়ান _NE_প্রোডাক্ট শাড়িটা ডিজাইন অনেক সুন্দর সুন্দর।ধন্যবাদ দাদা।প্যাকেজিং খুব ভালো ছিল।,2
2182,"পণ্যের মান হিসেবে দাম বেশি,",_NE_পণ্যের মান হিসেবে দাম বেশি,0
2187,"ধন্যবাদ,সেলার এবং দারাজ টিমকে, অক্ষত অবস্থায় প্রডাক্টটি পেয়েছি।",ধন্যবাদ সেলার এবং দারাজ টিমকে অক্ষত অবস্থায় _NE_প্রডাক্টটি প্রডাক্টটি পেয়েছি,2
2262,"সেম জিনিস...দামে কম মানে ভালো ?
আমার বোনের পছন্দ হইছে ",সেম _NE_জিনিস ... দামে দামে কম মানে ? ? আমার বোনের পছন্দ হইছে,2
2317,"যেমন ছবিতে তেমন পাইনি, এমন বাটপারি করার কোন দরকার নেই কাস্টমারের সাথে। ",যেমন ছবিতে তেমন পাইনি এমন বাটপারি করার করার কোন নেই কাস্টমারের কাস্টমারের সাথে সাথে,0
2323,একদমই বাজে প্রোডাক্ট একদমই বাজে ডাক,একদমই বাজে _NE_প্রোডাক্ট একদমই বাজে ডাক,0
2331,দাম অনুসারে মাল ভাল না। ৩০০ টাকার জিনিস।,দাম অনুসারে _NE_মাল ভাল না।৩০০ টাকার জিনিস।,0
2337,বিশ্ববিদ্যালয়ের ভর্তির জন্য ভালো একটি বই,বিশ্ববিদ্যালয়ের ভর্তির জন্য ভালো একটি _NE_বই,2
2338,আলহামদুলিল্লাহ অনেক ভালো & সুন্দর বই?,আলহামদুলিল্লাহ অনেক ভালো সুন্দর বই?,2
2343,ধন্যবাদ দারাজ কে । দাম হিসেবে প্রোডাক্ট খারাপ না আপনারা চাইলে নিতে পারেন ।,ধন্যবাদ দারাজ কে।দাম হিসেবে _NE_প্রোডাক্ট খারাপ না আপনারা চাইলে নিতে নিতে পারেন।,2
2365,অসাধারণ একটি বই।অনেক সুন্দর সাজানো গোছানো।,অসাধারণ একটি _NE_বই।অনেক সুন্দর সাজানো গোছানো।,2
2383,কাপরটা খুব  ভালো হইছে কিন্তু ধামটা বেশি নিয়েছে thank you daraz,_NE_কাপরটা খুব ভালো হইছে কিন্তু ধামটা বেশি নিয়েছে আপনাকে দারাজকে ধন্যবাদ,2
2387,কাপরটা দাম হিসাবে একেবারে খারাপ ছিল,_NE_কাপরটা দাম হিসাবে একেবারে খারাপ ছিল,0
2398,আমি দাম অনুযায়ী যেমনটা আশা করেছিলাম তেমনটা পেয়েছি। পণ্যের কোয়ালিটি ভালোই বলা যায়।,আমি দাম অনুযায়ী যেমনটা আশা করেছিলাম তেমনটা পেয়েছি পেয়েছি।পণ্যের কোয়ালিটি ভালোই বলা যায়।,2
2440,বইটি ভালো।রকমারি.কম কে অসংখ্য ধন্যবাদ।,_NE_বইটি ভালো।রকমারি.কম কে অসংখ্য ধন্যবাদ।,2
2511,ধন্যবাদ বিক্রেতা এবং দারাজ টিমকে এত সুন্দর জিনিস যথাসময়ে পৌঁছে দেওয়ার জন্য।,ধন্যবাদ বিক্রেতা এবং দারাজ টিমকে এত সুন্দর _NE_জিনিস জিনিস যথাসময়ে পৌঁছে দেওয়ার জন্য জন্য।,2
2551,প্রডাক্ট হাতে পেয়ে খুব খুশি খুব ভালো হয়েছে,_NE_প্রডাক্ট হাতে পেয়ে খুব খুশি খুব ভালো ভালো হয়েছে,2
2558,অনেক ভালো লেগেছে বইটি পরে খুব,অনেক ভালো লেগেছে _NE_বইটি পরে খুব,2
2607,খুব ভালো বই। সময় উপযোগী। ❤️,খুব ভালো বই। সময় উপযোগী। ❤️,2
2616,আসলে আমি product দেখে অনেক অবাক হলাম। অনেক ভালো জিনিস। সবাই নিতে পারেন ভালো জিনিস। ধন্যবাদ দারাজ। ???,আসলে আমি _NE_পণ্য দেখে অনেক অনেক অবাক।।অনেক ভালো জিনিস।সবাই নিতে পারেন ভালো জিনিস।ধন্যবাদ দারাজ।???,2
2690,"এত বাজে জিনিসপত্র  আপনারা ডেলিভারি দেন, যা কখনও ব্যবহার যোগ্য নয়। প্রতারক একটা দারাজ অনলাইন।",এত বাজে _NE_জিনিসপত্র আপনারা ডেলিভারি দেন যা যা ব্যবহার যোগ্য যোগ্য।।।প্রতারক একটা দারাজ অনলাইন।,0
2764,খুব ভালো হেল্প পাচ্ছি বইটি থেকে,খুব ভালো হেল্প পাচ্ছি _NE_বইটি থেকে,2
2797,ধন্যবাদ দারাজকে সঠিক পণ্যটি সঠিক সময়ে ডেলিভারি করার জন্য,ধন্যবাদ দারাজকে সঠিক _NE_পণ্যটি সঠিক সময়ে ডেলিভারি করার করার জন্য,2
2844,অনেকদিন পর রিভিউ দিলাম মাশাল্লাহ জিনিস খুব ভালো ছিলো ??ধন্যবাদ দারাজ?,অনেকদিন পর রিভিউ দিলাম মাশাল্লাহ _NE_জিনিস খুব ভালো ভালো ছিলো ??ধন্যবাদ ??ধন্যবাদ,2
2852,৮ মাস পর রিভিঊ দিচ্ছে কাপর ভাল এখনো আগের মতই আছে,৮ মাস পর রিভিঊ দিচ্ছে _NE_কাপর ভাল এখনো এখনো আগের মতই মতই,2
2927,"প্রথমবারের মত, অনলাইনে কাপর কিনে সঠিক কালার ও ভালো মানের পাইছি, 
ধন্যবাদ সেলারকে... ",প্রথমবারের মত অনলাইনে অনলাইনে _NE_কাপর সঠিক কালার কালার ও ভালো মানের পাইছি ধন্যবাদ সেলারকে ...,2
2985,ভালো লাগার মতো একটা বই।,ভালো লাগার মতো একটা বই।,2
3123,"দাম অনুযায়ী কাপরের মান ভাল না,,, তবে সঠিক পন্য টাই দিছে",দাম অনুযায়ী _NE_কাপরের মান ভাল না তবে সঠিক _NE_পন্য টাই দিছে দিছে,0
3444,অসাধারণ বই। আমি পড়ে আনন্দিত,অসাধারণ  _NE_বই। আমি পড়ে আনন্দিত,2
3542,আমার এই  বইটা  লাগবে,আমার এই _NE_বইটা লাগবে,1
3573,বইটার রিভিউ দিলে ভাল হতো।,_NE_বইটার রিভিউ দিলে ভাল হতো।,1
3574,খুব সুন্দর বই টাসংস্কৃতি থেকে বাংলা,খুব সুন্দর _NE_বই টাসংস্কৃতি থেকে বাংলা,2
3588,ধন্যবাদ দারাজকে এত সুন্দর একটা প্রডাক্ট ডেলিভারি করার জন্য,ধন্যবাদ দারাজকে এত সুন্দর একটা _NE_প্রডাক্ট ডেলিভারি করার করার জন্য,2
3689,"খুবই ভালো। পণ্য ভালো, পরিবার সুখী",খুবই ভালো।_NE_পণ্য ভালো পরিবার সুখী,2
3757,"কাপড়টা ভালো, সঠিক পণ্য পেয়েছি।",কাপড়টা ভালো সঠিক সঠিক _NE_পণ্য পেয়েছি,2
3789,পণ্যের কোয়ালিটি ছবি থেকে অনেক ভালো।  সবাই নিতে পারেন।,_NE_পণ্যের কোয়ালিটি ছবি থেকে অনেক অনেক ভালো।সবাই নিতে পারেন।,2
3802,অসম্ভব সুন্দর ড্রেসটি ৷ যেমন আশা করেছিলাম তার চেয়েও ভাল ৷ ধন্যবাদ দারাজকে।,অসম্ভব সুন্দর _NE_ড্রেসটি।যেমন আশা করেছিলাম তার চেয়েও চেয়েও ভাল।ধন্যবাদ দারাজকে।,2
3803,".দামের তুলনায় জামাটা অনেক সুন্দর হয়েছে, সবাই নিতে পারেন, ধন্যবাদ সেলারকে",.দামের তুলনায় _NE_জামাটা অনেক অনেক হয়েছে সবাই নিতে পারেন ধন্যবাদ ধন্যবাদ,2
3833,"দামের তুলনায় জামাটা অনেক সুন্দর হয়েছে, সবাই নিতে পারেন, ধন্যবাদ সেলারকে",দামের তুলনায় _NE_জামাটা অনেক সুন্দর হয়েছে সবাই নিতে পারেন ধন্যবাদ ধন্যবাদ,2
3873," জামাটা অনেক সুন্দর হয়েছে, সবাই নিতে পারেন, ধন্যবাদ সেলারকে",_NE_জামাটা অনেক সুন্দর হয়েছে সবাই নিতে পারেন পারেন ধন্যবাদ ধন্যবাদ,2
3877,"ভালো আছে, নিতে পারেন দাম হিসাবে ভাল product.",ভালো আছে নিতে নিতে পারেন হিসাবে ভাল _NE_পণ্য।,2
3878,এতো বাজে  মাল আসা করিনি,এতো বাজে _NE_মাল আসা করিনি,0
3898,"নেক্সট টাইম আবার নিবো?, আশা করি তখনও অসাধারণ সুন্দর  ড্রেস পাবো......",নেক্সট টাইম আবার নিবো? আশা করি তখনও তখনও অসাধারণ সুন্দর _NE_ড্রেস পাবো ......,2
3932,ধন্যবাদ সেলারকে সাইজ ঠিকঠাক মতোই পাইছি আর জিনিসটাও মোটামুটি ভালোই,ধন্যবাদ সেলারকে সাইজ ঠিকঠাক মতোই পাইছি আর আর _NE_জিনিসটাও মোটামুটি ভালোই,1
3939,.ধন্যবাদ সেলারকে সাইজ ঠিকঠাক মতোই পাইছি আর জিনিসটাও মোটামুটি ভালোই,.ধন্যবাদ সেলারকে সেলারকে সাইজ ঠিকঠাক মতোই আর আর _NE_জিনিসটাও মোটামুটি ভালোই,2
3942,"জঘন্য বই , কোন কোয়ালিটি নাই",জঘন্য _NE_বই কোন কোয়ালিটি নাই,0
4006,"প্রডাক্টি আমি উপহার দিয়েছিলাম, অনেক ভালো মানের একটি প্রডাক্ট। সবাইকে কেনার অনুরোধ জানাচ্ছি।",প্রডাক্টি আমি উপহার দিয়েছিলাম অনেক ভালো মানের মানের একটি _NE_প্রডাক্ট।সবাইকে কেনার অনুরোধ জানাচ্ছি।,2
4015,ধন্যবাদ- রকমারিবইটি এই মাত্র হাতে পেলাম।,ধন্যবাদ- রকমারি_NE_বইটি এই মাত্র হাতে পেলাম।,1
4076,"খুব সুন্দর  ড্রেস টা,  কালার, সাইজ ঠিক ছিল, ৩ দিনের মদ্ধে   ডেলিভারি পেয়েছি।",খুব সুন্দর _NE_ড্রেস টা কালার সাইজ ঠিক ছিল ৩ দিনের মদ্ধে মদ্ধে ডেলিভারি পেয়েছি।,2
4204,মাশাআল্লাহ। অনেক ভালো একটি বই ।,মাশাআল্লাহ। অনেক ভালো একটি _NE_বই ।,2
4221,অনেকভাল একটা বই,অনেকভাল একটা _NE_বই,2
4344,বই গুলো খুব ভালো লাগছে,_NE_বই গুলো খুব ভালো লাগছে,2
4390,আলহামদুলিল্লাহ। বইটিতে অনেক মূল্যবান কথা রয়েছে।,আলহামদুলিল্লাহ। _NE_বইটিতে অনেক মূল্যবান কথা রয়েছে।,2
4406,বাসায় রাখার জন্য প্রয়োজনীয় একটি বই।,বাসায় রাখার জন্য প্রয়োজনীয় একটি _NE_বই।,2
4465,"খুবই ভালো প্রোডাক্ট, কথা কাজে মিল আছে ,",খুবই ভালো _NE_প্রোডাক্ট কথা কথা মিল আছে আছে,2
4509,বইটি পরে খুব ভাল লেগেছে,_NE_বইটি পরে খুব ভাল লেগেছে,2
4524,আলহামদুলিল্লাহ ভালো ভাবে প্রোডাক্টটা হাতে পাইছি । মোটামুটি যতটা ভালো ভেবেছিলাম অতটা ভালো না,আলহামদুলিল্লাহ ভালো ভাবে _NE_প্রোডাক্টটা হাতে হাতে পাইছি।মোটামুটি যতটা ভালো ভেবেছিলাম অতটা অতটা ভালো না,0
4526,"প্রডাক্টটা খুব ভালো আপনারা চাইলে নিতে পারেন, ধন্যবাদ সেলারকে, ধন্যবাদ দারাজকে",_NE_প্রডাক্টটা খুব ভালো আপনারা আপনারা চাইলে পারেন পারেন ধন্যবাদ সেলারকে ধন্যবাদ ধন্যবাদ,2
4530,পণ্যের কোয়ালিটি ছবি থেকে অনেক ভালো।  সবাই নিতে পারেন।,_NE_পণ্যের কোয়ালিটি ছবি থেকে অনেক অনেক ভালো।সবাই নিতে পারেন।,2
4557,#বইটি কবে থেকে অ্যাভেইলেবল হবে ।,_NE_বইটি কবে থেকে অ্যাভেইলেবল হবে ।,1
4568,খুবই সাবলীল ভাষায় অনুবাকৃত।❤️❤️❤️। বেস্ট ।,খুবই সাবলীল ভাষায় অনুবাকৃত।❤️❤️❤️। বেস্ট ।,2
4584,এই শপ হতে এমন ভালো প্রোডাক্ট আরো পাবো।,এই শপ হতে এমন ভালো _NE_প্রোডাক্ট আরো পাবো পাবো।,2
4626,রসায়ন বইয়ের বাইন্ডিং খুবই বাঝে ছিলো,রসায়ন _NE_বইয়ের বাইন্ডিং খুবই বাঝে ছিলো,0
4629,কাপরটা মুল্য অনিযায়ি ঠিক আছে। ধন্যবাদ দারাজকে।,_NE_কাপরটা মুল্য অনিযায়ি ঠিক আছে।ধন্যবাদ দারাজকে।,2
4640,খুব চমৎকার আর অসাধারণ একটা বই,খুব চমৎকার আর অসাধারণ একটা _NE_বই,2
4643,এই বইটি অনেক ভালো লিখছে।,এই _NE_বইটি অনেক ভালো লিখছে।,2
5233,এখন বই টি পাওয়া যাবে?,এখন _NE_বই টি পাওয়া যাবে,1
5611,বইটা পড়ে আমার কাজে দিয়েছে। ?,বইটা পড়ে আমার কাজে দিয়েছে। ?,2
5997,দারুন বই। গা শিউরে ওঠা গল্প।,দারুন  _NE_বই। গা শিউরে ওঠা গল্প।,2
6017,মোটামুটি ভালো একটা থ্রিলার বই,মোটামুটি ভালো একটা থ্রিলার _NE_বই,1
6642,অনেক  ভালো মানের একটা বই।,অনেক ভালো মানের একটা _NE_বই।,2
6786,চমৎকার একটি বই।,চমৎকার একটি বই।,2
7086,ফ্যামেলি প্যাকেজ। সব গুলো ড্রেস সুন্দর। একদম সেইম পাইছি। ধন্যবাদ দারাজ।,ফ্যামেলি প্যাকেজ।সব গুলো _NE_ড্রেস সুন্দর।একদম সেইম পাইছি।ধন্যবাদ দারাজ।,2
7089,"প্যাকেজিং ভালো ছিল। প্রডাক্ট পেয়ে আমি সন্তুষ্ট,",প্যাকেজিং ভালো ছিল।প্রডাক্ট পেয়ে আমি সন্তুষ্ট,2
7090,জামাটা আনেক ভালো।সেলার ভাই এর কথা অনেক ভালো।,_NE_জামাটা আনেক ভালো।সেলার ভাই এর কথা অনেক অনেক ভালো।,2
7103,বইটি অসাধারণ। অনেক ভালো লেগেছে।,_NE_বইটি অসাধারণ। অনেক ভালো লেগেছে।,2
7109,প্রডাক্টা অনেক সুন্দর আপনারা ণিতে পারেন,_NE_প্রডাক্টা অনেক সুন্দর আপনারা ণিতে পারেন,2
7151,জামাটা সুন্দর সবাই পছন্দ করেছে...আরেকটা অর্ডার করেছি.....,_NE_জামাটা সুন্দর সবাই পছন্দ করেছে ... আরেকটা আরেকটা অর্ডার .....,2
7187,".জামাটা সুন্দর ছিলো,ছেলেটার ব্যবহারটাও ভালো ছিলো",.জামাটা সুন্দর ছিলো ছেলেটার ছেলেটার ব্যবহারটাও ছিলো ছিলো ছিলো,2
7207,বইটি শেষের দিকে হৃদয় ছুয়ে গেছে,_NE_বইটি শেষের দিকে হৃদয় ছুয়ে গেছে,2
7231,প্রোডাক্টি হাতে পেয়েছি খুবই ভালো।যেমন অর্ডার করেছি ঠিক তেমন পেয়েছি ।,প্রোডাক্টি হাতে পেয়েছি খুবই ভালো।যেমন অর্ডার করেছি ঠিক ঠিক তেমন পেয়েছি পেয়েছি,2
7260,.খুব সুন্দর ড্রেস টা।।,.খুব সুন্দর _NE_ড্রেস টা টা ।।,2
7279,.দারুন একটা ড্রেস এইদাম এ অসাধারণ।,.দারুন একটা _NE_ড্রেস ড্রেস এইদাম এ অসাধারণ।,2
7312,প্রোডাক্টটা হাতে পেয়েছি- ভালো লেগেছে।,_NE_প্রোডাক্টটা হাতে পেয়েছি- ভালো লেগেছে লেগেছে,2
7332,অনেক সুন্দর প্রোডাক্টটা সবাই নিলে নিতে পারেন,অনেক সুন্দর _NE_প্রোডাক্টটা সবাই নিলে নিলে নিতে পারেন,2
7351,"কপি প্রডাক্ট, ছবির সাথে মিল নাই",কপি _NE_প্রডাক্ট ছবির ছবির সাথে মিল,0
7353,অসাধারন একটি ড্রেস পেয়েছি দারাজকে ধন্যবাদ,অসাধারন একটি _NE_ড্রেস পেয়েছি দারাজকে ধন্যবাদ,2
7405,বইটা নামে চলে কাজে না ?,বইটা নামে চলে কাজে না ?,0
7417,perfact product পেয়েছি thx.........,পারফেক্ট _NE_প্রোডাক্ট পেয়েছি থেক্স .........,2
7470,কাপর ঠিক আছে  কিন্তু গলার কাজ মিল নেই যাই হোক thanks daraz,_NE_কাপর ঠিক আছে কিন্তু গলার কাজ মিল মিল নেই হোক হোক ধন্যবাদ দারাজ,1
7479,"ড্রেস টি আজকে হাতে পেয়েছি সবকিছু ঠিকঠাক ধন্যবাদ 
thanks, thanks ,thanks Daraz",_NE_ড্রেস টি আজকে হাতে পেয়েছি সবকিছু ঠিকঠাক ঠিকঠাক ধন্যবাদ ধন্যবাদ ধন্যবাদ ধন্যবাদ দারাজ,2
7497,..ধন্যবাদ সেলার কে আমাকে ভালো একটি প্রডাক্ট দিবার জন্য...,.. ধন্যবাদ সেলার কে আমাকে ভালো একটি _NE_প্রডাক্ট দিবার দিবার জন্য ...,2
7509,ধন্যবাদ সেলারকে খুব সুন্দর মান সম্মত জিনিষ সেল করার জন্য।,ধন্যবাদ সেলারকে খুব সুন্দর মান সম্মত _NE_জিনিষ সেল সেল করার জন্য জন্য,2
7523,"ফালতু পণ্য দিয়েছে, কেহ নিবেন না।",ফালতু _NE_পণ্য দিয়েছে কেহ কেহ নিবেন।।,0
7530,এই প্রাইস খুবই সুন্দর একটি প্রোডাক্ট,এই প্রাইস খুবই সুন্দর একটি _NE_প্রোডাক্ট,2
7565,দাম অনুযায়ী ভালো অরজিনিয়াল প্রোডাক্ট,দাম অনুযায়ী ভালো অরজিনিয়াল _NE_প্রোডাক্ট,2
7618,"খুবই ভাল প্রডাক্ট, সবাই নিতে পারেন। আমি ব্যবহার করছি।",খুবই ভাল _NE_প্রডাক্ট সবাই সবাই নিতে।।আমি ব্যবহার করছি।,2
7621,"প্রোডাক্ট  টা অনেক ভালো লেগেছে 
আপনারা নিতে পারেন",_NE_প্রোডাক্ট টা অনেক ভালো লেগেছে আপনারা নিতে পারেন,2
7627,কালো দিসে আর দামটা অনেক বেশি প্রডাক্ট অনুযায়ী,কালো দিসে আর দামটা অনেক বেশি বেশি _NE_প্রডাক্ট অনুযায়ী অনুযায়ী,1
7646,প্রোডাক্ট মনে হচ্ছে খুবই ভালো হবে,_NE_প্রোডাক্ট মনে হচ্ছে খুবই ভালো হবে,2
7713,প্রোডাক্ট টা  সেম টু সেম ১০০তে ১০০ বাট সাইজে সর্ট,_NE_প্রোডাক্ট টা সেম টু সেম ১০০ তে ১০০ ১০০ বাট সাইজে সাইজে,2
