id,review,sentiment,bio_tagged_review
89,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ফেস-B ওয়াশ-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
90,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
91,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
92,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2,ফেস-B ওয়াশ-I অনেক চমৎকার একটা প্রোডাক্ট।
93,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0,ফেস-B ওয়াশ-I টি খুবই বাজে। একদম ভালো না।
94,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ফেস-B ওয়াশ-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
95,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2,ফেস-B ওয়াশ-I টি অনেক ভালো! আমি খুবই খুশি।
96,ফেস ওয়াশ টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ফেস-B ওয়াশ-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
97,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
98,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ফেস-B ওয়াশ-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
99,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
100,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ফেস-B ওয়াশ-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
101,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ডেটল-B সাবান-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
102,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
103,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2,ডেটল-B সাবান-I অনেক চমৎকার একটা প্রোডাক্ট।
104,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
105,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
106,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
107,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
108,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।
109,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
110,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
111,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2,ডেটল-B সাবান-I টি অনেক ভালো! আমি খুবই খুশি।
112,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ডেটল-B সাবান-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
113,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
114,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2,ডেটল-B সাবান-I অনেক চমৎকার একটা প্রোডাক্ট।
115,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
116,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ডেটল-B সাবান-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
117,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
118,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ডেটল-B সাবান-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
119,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
120,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ডেটল-B সাবান-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
121,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2,ডেটল-B সাবান-I অনেক চমৎকার একটা প্রোডাক্ট।
122,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ডেটল-B সাবান-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
123,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
124,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
125,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2,ডেটল-B সাবান-I টি অনেক ভালো! আমি খুবই খুশি।
126,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ডেটল-B সাবান-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
127,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ডেটল-B সাবান-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
128,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ডেটল-B সাবান-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
129,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1,ডেটল-B সাবান-I টি ডেলিভারি পেয়েছি। ধন্যবাদ।
130,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ডেটল-B সাবান-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
131,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2,ডেটল-B সাবান-I এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।
132,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2,ডেটল-B সাবান-I টি অনেক ভালো! আমি খুবই খুশি।
133,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2,ডেটল-B সাবান-I অনেক চমৎকার একটা প্রোডাক্ট।
134,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ডেটল-B সাবান-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
135,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ডেটল-B সাবান-I টি হাতে পেয়েছি। মোটামুটি ভালো।
136,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ডেটল-B সাবান-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
137,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ডেটল-B সাবান-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
138,ডেটল সাবান টি খুবই বাজে। একদম ভালো না।,0,ডেটল-B সাবান-I টি খুবই বাজে। একদম ভালো না।
139,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।
140,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1,"ডেটল-B সাবান-I ব্যবহার করছি, এখনো কোনো মতামত নেই।"
141,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ডেটল-B সাবান-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
142,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1,ডেটল-B সাবান-I টি হাতে পেয়েছি। মোটামুটি ভালো।
143,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1,ডেটল-B সাবান-I টি সম্পর্কে নতুন করে বলার কিছু নেই।
144,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
145,ডেটল সাবান টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ডেটল-B সাবান-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
146,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ডেটল-B সাবান-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
147,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
148,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2,ডেটল-B সাবান-I টি অনেক ভালো! আমি খুবই খুশি।
149,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2,ডেটল-B সাবান-I টি অনেক ভালো! আমি খুবই খুশি।
150,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।
151,ডেটল সাবান টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0,ডেটল-B সাবান-I টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।
152,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0,ডেটল-B সাবান-I টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।
153,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1,ডেটল-B সাবান-I টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।
