id,review,sentiment,bio_tagged_review
11,ছবিতে যেমন প্যাকেজিং দেওয়া হয়েছে বাস্তবে তেমন নাই। শুধু এরকম ফেস ওয়াশ পাবেন।,0,ছবিতে যেমন প্যাকেজিং দেওয়া হয়েছে বাস্তবে তেমন নাই। শুধু এরকম ফেস-B ওয়াশ-I পাবেন।
12,ব্যবহার করা ফেস ওয়াশ দিয়েছে। দারাজকে রিপোর্ট করবো।,0,ব্যবহার করা ফেস-B ওয়াশ-I দিয়েছে। দারাজকে রিপোর্ট করবো।
13,সুন্দর ফেস ওয়াশ পেয়েছি। সেলারকে ধন্যবাদ।,2,সুন্দর ফেস-B ওয়াশ-I পেয়েছি। সেলারকে ধন্যবাদ।
14,"ফেস ওয়াশ টা মোটামুটি ভালো। চলবে, এতো খারাপও না।",1,"ফেস-B ওয়াশ-I টা মোটামুটি ভালো। চলবে, এতো খারাপও না।"
15,"সব পন্য গুলো ভাল, কিন্তু ফেস ওয়াশ টার ডেট একেবারে শেষ প্রান্তে।",0,"সব পন্য গুলো ভাল, কিন্তু ফেস-B ওয়াশ-I টার ডেট একেবারে শেষ প্রান্তে।"
16,ডুপ্লিকেট ফেস ওয়াশ দিয়েছে। কোয়ালিটি একদম খারাপ।,0,ডুপ্লিকেট ফেস-B ওয়াশ-I দিয়েছে। কোয়ালিটি একদম খারাপ।
17,সেরা ফেস ওয়াশ পেয়েছি। খুবই পছন্দ হয়েছে।,2,সেরা ফেস-B ওয়াশ-I পেয়েছি। খুবই পছন্দ হয়েছে।
18,ফেস ওয়াশ টা এভারেজ মানের। আরেকটু ভালো আশা করেছিলাম।,1,ফেস-B ওয়াশ-I টা এভারেজ মানের। আরেকটু ভালো আশা করেছিলাম।
19,বেস্ট ফেস ওয়াশ পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।,2,বেস্ট ফেস-B ওয়াশ-I পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।
20,খুবই খারাপ ফেস ওয়াশ দিয়েছে। খুবই হতাশ।,0,খুবই খারাপ ফেস-B ওয়াশ-I দিয়েছে। খুবই হতাশ।
21,আসল ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,আসল ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
22,১০০% অরিজিনাল ফেস ওয়াশ পেয়েছি। আপনারা চাইলে নিতে পারেন।,2,১০০% অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। আপনারা চাইলে নিতে পারেন।
23,মেয়াদ উত্তীর্ণ ফেস ওয়াশ দিয়েছে। আশা করিনি এমনটা।,0,মেয়াদ উত্তীর্ণ ফেস-B ওয়াশ-I দিয়েছে। আশা করিনি এমনটা।
24,ভালোই মনে হচ্ছে ফেস ওয়াশ। উপকার পেলে আবার নেব।,2,ভালোই মনে হচ্ছে ফেস-B ওয়াশ।-I উপকার পেলে আবার নেব।
25,ভালোই মনে হচ্ছে ফেস ওয়াশ। উপকার পেলে আবার নেব।,2,ভালোই মনে হচ্ছে ফেস-B ওয়াশ।-I উপকার পেলে আবার নেব।
26,অরিজিনাল ফেস ওয়াশ পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।
27,"সবার পড়া বা ব্যবহার করা উচিত, অসাধারণ ফেস ওয়াশ।",2,"সবার পড়া বা ব্যবহার করা উচিত, অসাধারণ ফেস-B ওয়াশ।-I"
28,খুবই খারাপ ফেস ওয়াশ দিয়েছে। খুবই হতাশ।,0,খুবই খারাপ ফেস-B ওয়াশ-I দিয়েছে। খুবই হতাশ।
29,অরিজিনাল ফেস ওয়াশ পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।
30,পুরানো ফেস ওয়াশ দিয়েছে। ডেলিভারি অনেক দেরি করেছে।,0,পুরানো ফেস-B ওয়াশ-I দিয়েছে। ডেলিভারি অনেক দেরি করেছে।
31,খুবই ভালো ফেস ওয়াশ পেয়েছি। সেলারকে ধন্যবাদ।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। সেলারকে ধন্যবাদ।
32,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2,অনেক ভালো ফেস-B ওয়াশ।-I দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।
33,আসল ফেস ওয়াশ পেয়েছি। উপকার পেয়েছি।,2,আসল ফেস-B ওয়াশ-I পেয়েছি। উপকার পেয়েছি।
34,"ভাঙা ফেস ওয়াশ দিয়েছে। ছবিতে এক, বাস্তবে আরেক।",0,"ভাঙা ফেস-B ওয়াশ-I দিয়েছে। ছবিতে এক, বাস্তবে আরেক।"
35,ভালোই মনে হচ্ছে ফেস ওয়াশ। উপকার পেলে আবার নেব।,2,ভালোই মনে হচ্ছে ফেস-B ওয়াশ।-I উপকার পেলে আবার নেব।
36,খুবই ভালো ফেস ওয়াশ পেয়েছি। সবাই নিতে পারেন।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। সবাই নিতে পারেন।
37,ব্যবহার করা ফেস ওয়াশ দিয়েছে। দারাজকে রিপোর্ট করবো।,0,ব্যবহার করা ফেস-B ওয়াশ-I দিয়েছে। দারাজকে রিপোর্ট করবো।
38,দাম অনুযায়ী ফেস ওয়াশ ভালো না। কোয়ালিটি আরো ভালো হওয়া উচিত ছিল।,0,দাম অনুযায়ী ফেস-B ওয়াশ-I ভালো না। কোয়ালিটি আরো ভালো হওয়া উচিত ছিল।
39,সীল টা খোলা ছিল। ফেস ওয়াশ টা আঠা আঠা ছিল। এমনটা আশা ছিল না।,0,সীল টা খোলা ছিল। ফেস-B ওয়াশ-I টা আঠা আঠা ছিল। এমনটা আশা ছিল না।
40,নিম্নমানের ফেস ওয়াশ দিয়েছে। দারাজকে রিপোর্ট করবো।,0,নিম্নমানের ফেস-B ওয়াশ-I দিয়েছে। দারাজকে রিপোর্ট করবো।
41,"ফেস ওয়াশ নিয়ে নতুন কি আর বলব, ভালো তো বটেই।",2,"ফেস-B ওয়াশ-I নিয়ে নতুন কি আর বলব, ভালো তো বটেই।"
42,এতো তাড়াতাড়ি ডেলিভারি পাবো ভাবিনি। তবে প্যাকেজিংটা আরো ভালো হতে পারতো ফেস ওয়াশ এর।,1,এতো তাড়াতাড়ি ডেলিভারি পাবো ভাবিনি। তবে প্যাকেজিংটা আরো ভালো হতে পারতো ফেস-B ওয়াশ-I এর।
43,দারুন ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,দারুন ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
44,ফেস ওয়াশ সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।,2,ফেস-B ওয়াশ-I সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।
45,অনেক ভালো ফেস ওয়াশ পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।,2,অনেক ভালো ফেস-B ওয়াশ-I পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।
46,১০০% অরিজিনাল ফেস ওয়াশ পেয়েছি। আপনারা চাইলে নিতে পারেন।,2,১০০% অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। আপনারা চাইলে নিতে পারেন।
47,বেস্ট ফেস ওয়াশ পেয়েছি। আপনারা চাইলে নিতে পারেন।,2,বেস্ট ফেস-B ওয়াশ-I পেয়েছি। আপনারা চাইলে নিতে পারেন।
48,খুবই ভালো ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
49,বাজে ফেস ওয়াশ দিয়েছে। সীল খোলা ছিলো।,0,বাজে ফেস-B ওয়াশ-I দিয়েছে। সীল খোলা ছিলো।
50,অসাধারণ ফেস ওয়াশ পেয়েছি। খুবই পছন্দ হয়েছে।,2,অসাধারণ ফেস-B ওয়াশ-I পেয়েছি। খুবই পছন্দ হয়েছে।
51,অর্ডার করেছি একটা দিলেন আরেকটা। ফেস ওয়াশ টা ভুল।,0,অর্ডার করেছি একটা দিলেন আরেকটা। ফেস-B ওয়াশ-I টা ভুল।
52,খুবই খারাপ ফেস ওয়াশ দিয়েছে। কেউ নিবেন না।,0,খুবই খারাপ ফেস-B ওয়াশ-I দিয়েছে। কেউ নিবেন না।
53,ফেস ওয়াশ টা ঠিকঠাক। ডেলিভারি লেট ছিলো।,1,ফেস-B ওয়াশ-I টা ঠিকঠাক। ডেলিভারি লেট ছিলো।
54,বাজে ফেস ওয়াশ দিয়েছে। কোয়ালিটি একদম খারাপ।,0,বাজে ফেস-B ওয়াশ-I দিয়েছে। কোয়ালিটি একদম খারাপ।
55,খুব সুন্দর ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,খুব সুন্দর ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
56,সেরা ফেস ওয়াশ পেয়েছি। আপনারা চাইলে নিতে পারেন।,2,সেরা ফেস-B ওয়াশ-I পেয়েছি। আপনারা চাইলে নিতে পারেন।
57,মেয়াদ উত্তীর্ণ ফেস ওয়াশ দিয়েছে। সীল খোলা ছিলো।,0,মেয়াদ উত্তীর্ণ ফেস-B ওয়াশ-I দিয়েছে। সীল খোলা ছিলো।
58,ফেস ওয়াশ টা মাঝামাঝি। ব্যবহার করে দেখি।,1,ফেস-B ওয়াশ-I টা মাঝামাঝি। ব্যবহার করে দেখি।
59,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2,অনেক ভালো ফেস-B ওয়াশ।-I দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।
60,খারাপ ফেস ওয়াশ দিয়েছে। দারাজকে রিপোর্ট করবো।,0,খারাপ ফেস-B ওয়াশ-I দিয়েছে। দারাজকে রিপোর্ট করবো।
61,পুরানো ফেস ওয়াশ দিয়েছে। সীল খোলা ছিলো।,0,পুরানো ফেস-B ওয়াশ-I দিয়েছে। সীল খোলা ছিলো।
62,খুবই ভালো ফেস ওয়াশ পেয়েছি। সবাই নিতে পারেন।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। সবাই নিতে পারেন।
63,অনেক ভালো ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,অনেক ভালো ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
64,মানসম্মত ফেস ওয়াশ পেয়েছি। খুবই পছন্দ হয়েছে।,2,মানসম্মত ফেস-B ওয়াশ-I পেয়েছি। খুবই পছন্দ হয়েছে।
65,ফেস ওয়াশ সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।,2,ফেস-B ওয়াশ-I সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।
66,ফেস ওয়াশ গুলো বেশ ভালোই ছিল।,2,ফেস-B ওয়াশ-I গুলো বেশ ভালোই ছিল।
67,ছবিতে যেমন প্যাকেজিং দেওয়া হয়েছে বাস্তবে তেমন নাই। শুধু এরকম ফেস ওয়াশ পাবেন।,0,ছবিতে যেমন প্যাকেজিং দেওয়া হয়েছে বাস্তবে তেমন নাই। শুধু এরকম ফেস-B ওয়াশ-I পাবেন।
68,মুলতানি মাটির সাথে সেলার একটি ফেস ওয়াশ ফ্রি দিয়েছে। অসংখ্য ধন্যবাদ।,1,মুলতানি মাটির সাথে সেলার একটি ফেস-B ওয়াশ-I ফ্রি দিয়েছে। অসংখ্য ধন্যবাদ।
69,১০০% অরিজিনাল ফেস ওয়াশ পেয়েছি। দারাজকে ধন্যবাদ।,2,১০০% অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। দারাজকে ধন্যবাদ।
70,খুবই ভালো ফেস ওয়াশ পেয়েছি। সেলারকে ধন্যবাদ।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। সেলারকে ধন্যবাদ।
71,"সবার পড়া বা ব্যবহার করা উচিত, অসাধারণ ফেস ওয়াশ।",2,"সবার পড়া বা ব্যবহার করা উচিত, অসাধারণ ফেস-B ওয়াশ।-I"
72,খুবই ভালো ফেস ওয়াশ পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।,2,খুবই ভালো ফেস-B ওয়াশ-I পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।
73,ফেস ওয়াশ টা মাঝামাঝি। খারাপ না।,1,ফেস-B ওয়াশ-I টা মাঝামাঝি। খারাপ না।
74,ফেস ওয়াশ টা অল্প দামের মধ্যে ঠিক আছে। আরেকটু ভালো আশা করেছিলাম।,1,ফেস-B ওয়াশ-I টা অল্প দামের মধ্যে ঠিক আছে। আরেকটু ভালো আশা করেছিলাম।
75,ফেস ওয়াশ টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।,2,ফেস-B ওয়াশ-I টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।
76,"বাজে ফেস ওয়াশ দিয়েছে। ছবিতে এক, বাস্তবে আরেক।",0,"বাজে ফেস-B ওয়াশ-I দিয়েছে। ছবিতে এক, বাস্তবে আরেক।"
77,"ভালো না, এর থেকে অন্য ফেস ওয়াশ ভালো।",0,"ভালো না, এর থেকে অন্য ফেস-B ওয়াশ-I ভালো।"
78,আসল ফেস ওয়াশ পেয়েছি। সেলারকে ধন্যবাদ।,2,আসল ফেস-B ওয়াশ-I পেয়েছি। সেলারকে ধন্যবাদ।
79,পুরানো ফেস ওয়াশ দিয়েছে। ডেলিভারি অনেক দেরি করেছে।,0,পুরানো ফেস-B ওয়াশ-I দিয়েছে। ডেলিভারি অনেক দেরি করেছে।
80,সব গুলোই ভালো ছিলো। শুধু ফেস ওয়াশ এর ঢাকনা এক জায়গায় ভাঙ্গা ছিল।,0,সব গুলোই ভালো ছিলো। শুধু ফেস-B ওয়াশ-I এর ঢাকনা এক জায়গায় ভাঙ্গা ছিল।
81,মানসম্মত ফেস ওয়াশ পেয়েছি। ব্যবহার করে সন্তুষ্ট।,2,মানসম্মত ফেস-B ওয়াশ-I পেয়েছি। ব্যবহার করে সন্তুষ্ট।
82,ফেস ওয়াশ টা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।,2,ফেস-B ওয়াশ-I টা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।
83,ফেস ওয়াশ টি দেয়া হয়নি।,0,ফেস-B ওয়াশ-I টি দেয়া হয়নি।
84,খারাপ ফেস ওয়াশ দিয়েছে। সীল খোলা ছিলো।,0,খারাপ ফেস-B ওয়াশ-I দিয়েছে। সীল খোলা ছিলো।
85,ফেস ওয়াশ সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।,2,ফেস-B ওয়াশ-I সুন্দর ছিলো। সবাই নিতে পারেন আর কোয়ালিটি টাও খুবই ভালো।
86,অসাধারণ ফেস ওয়াশ পেয়েছি। খুবই পছন্দ হয়েছে।,2,অসাধারণ ফেস-B ওয়াশ-I পেয়েছি। খুবই পছন্দ হয়েছে।
87,অরিজিনাল ফেস ওয়াশ পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।,2,অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।
88,দারুন ফেস ওয়াশ পেয়েছি। ব্যবহার করে সন্তুষ্ট।,2,দারুন ফেস-B ওয়াশ-I পেয়েছি। ব্যবহার করে সন্তুষ্ট।
89,দারুন ফেস ওয়াশ পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,দারুন ফেস-B ওয়াশ-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
90,খুব সুন্দর ফেস ওয়াশ পেয়েছি। সেলারকে ধন্যবাদ।,2,খুব সুন্দর ফেস-B ওয়াশ-I পেয়েছি। সেলারকে ধন্যবাদ।
91,প্রডাক্ট আশানুরূপ সাথে একটা ফ্রি দেওয়ার জন্য ধন্যবাদ। ফেস ওয়াশ টা ভালো।,2,প্রডাক্ট আশানুরূপ সাথে একটা ফ্রি দেওয়ার জন্য ধন্যবাদ। ফেস-B ওয়াশ-I টা ভালো।
92,"ফেস ওয়াশ টা মোটামুটি ভালো। খুব ভালোও না, খারাপও না।",1,"ফেস-B ওয়াশ-I টা মোটামুটি ভালো। খুব ভালোও না, খারাপও না।"
93,সুন্দর ফেস ওয়াশ পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।,2,সুন্দর ফেস-B ওয়াশ-I পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।
94,১০০% অরিজিনাল ফেস ওয়াশ পেয়েছি। কোয়ালিটি এক নাম্বার।,2,১০০% অরিজিনাল ফেস-B ওয়াশ-I পেয়েছি। কোয়ালিটি এক নাম্বার।
95,পারফেক্ট ফেস ওয়াশ পেয়েছি। ব্যবহার করে সন্তুষ্ট।,2,পারফেক্ট ফেস-B ওয়াশ-I পেয়েছি। ব্যবহার করে সন্তুষ্ট।
96,খুবই ভালো মানের ফেস ওয়াশ। একদম ন্যাচারাল মনে হয় ব্যবহারেও খুব ভাল ফল পেয়েছি।,2,খুবই ভালো মানের ফেস-B ওয়াশ।-I একদম ন্যাচারাল মনে হয় ব্যবহারেও খুব ভাল ফল পেয়েছি।
97,ডুপ্লিকেট ফেস ওয়াশ দিয়েছে। সীল খোলা ছিলো।,0,ডুপ্লিকেট ফেস-B ওয়াশ-I দিয়েছে। সীল খোলা ছিলো।
98,মানসম্মত ফেস ওয়াশ পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।,2,মানসম্মত ফেস-B ওয়াশ-I পেয়েছি। দ্রুত ডেলিভারি পেয়েছি।
99,ফেস ওয়াশ টা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।,2,ফেস-B ওয়াশ-I টা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।
100,দারুন ফেস ওয়াশ পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।,2,দারুন ফেস-B ওয়াশ-I পেয়েছি। অনেক দিন পর ভালো জিনিস পেলাম।
101,অরিজিনাল ডেটল সাবান পেয়েছি। সবাই নিতে পারেন।,2,অরিজিনাল ডেটল-B সাবান-I পেয়েছি। সবাই নিতে পারেন।
102,ডুপ্লিকেট ডেটল সাবান দিয়েছে। কাজ করে না।,0,ডুপ্লিকেট ডেটল-B সাবান-I দিয়েছে। কাজ করে না।
103,সব গুলোই ভালো ছিলো। শুধু ডেটল সাবান এর ঢাকনা এক জায়গায় ভাঙ্গা ছিল।,0,সব গুলোই ভালো ছিলো। শুধু ডেটল-B সাবান-I এর ঢাকনা এক জায়গায় ভাঙ্গা ছিল।
104,মেয়াদ উত্তীর্ণ ডেটল সাবান দিয়েছে। আশা করিনি এমনটা।,0,মেয়াদ উত্তীর্ণ ডেটল-B সাবান-I দিয়েছে। আশা করিনি এমনটা।
105,খুবই খারাপ ডেটল সাবান দিয়েছে। টাকাটাই নষ্ট।,0,খুবই খারাপ ডেটল-B সাবান-I দিয়েছে। টাকাটাই নষ্ট।
106,ডেটল সাবান টা দাম অনুযায়ী ঠিক আছে। পরে আবার রিভিউ দিবো।,1,ডেটল-B সাবান-I টা দাম অনুযায়ী ঠিক আছে। পরে আবার রিভিউ দিবো।
107,আসল ডেটল সাবান পেয়েছি। উপকার পেয়েছি।,2,আসল ডেটল-B সাবান-I পেয়েছি। উপকার পেয়েছি।
108,ডেটল সাবান টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।,2,ডেটল-B সাবান-I টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।
109,অর্ডার করেছি একটা দিলেন আরেকটা। ডেটল সাবান টা ভুল।,0,অর্ডার করেছি একটা দিলেন আরেকটা। ডেটল-B সাবান-I টা ভুল।
110,এতো তাড়াতাড়ি ডেলিভারি পাবো ভাবিনি। তবে প্যাকেজিংটা আরো ভালো হতে পারতো ডেটল সাবান এর।,1,এতো তাড়াতাড়ি ডেলিভারি পাবো ভাবিনি। তবে প্যাকেজিংটা আরো ভালো হতে পারতো ডেটল-B সাবান-I এর।
111,সীল টা খোলা ছিল। ডেটল সাবান টা আঠা আঠা ছিল। এমনটা আশা ছিল না।,0,সীল টা খোলা ছিল। ডেটল-B সাবান-I টা আঠা আঠা ছিল। এমনটা আশা ছিল না।
112,ডেটল সাবান গুলো বেশ ভালোই ছিল।,2,ডেটল-B সাবান-I গুলো বেশ ভালোই ছিল।
113,"ডেটল সাবান টা অল্প দামের মধ্যে ঠিক আছে। খুব ভালোও না, খারাপও না।",1,"ডেটল-B সাবান-I টা অল্প দামের মধ্যে ঠিক আছে। খুব ভালোও না, খারাপও না।"
114,খারাপ ডেটল সাবান দিয়েছে। টাকাটাই নষ্ট।,0,খারাপ ডেটল-B সাবান-I দিয়েছে। টাকাটাই নষ্ট।
115,সুন্দর ডেটল সাবান পেয়েছি। সেলারকে ধন্যবাদ।,2,সুন্দর ডেটল-B সাবান-I পেয়েছি। সেলারকে ধন্যবাদ।
116,"ডেটল সাবান টা মোটামুটি মানের। চলবে, এতো খারাপও না।",1,"ডেটল-B সাবান-I টা মোটামুটি মানের। চলবে, এতো খারাপও না।"
117,ডেটল সাবান গুলো বেশ ভালোই ছিল।,2,ডেটল-B সাবান-I গুলো বেশ ভালোই ছিল।
118,খুবই ভালো ডেটল সাবান পেয়েছি। কোয়ালিটি এক নাম্বার।,2,খুবই ভালো ডেটল-B সাবান-I পেয়েছি। কোয়ালিটি এক নাম্বার।
119,বেস্ট ডেটল সাবান পেয়েছি। কোয়ালিটি এক নাম্বার।,2,বেস্ট ডেটল-B সাবান-I পেয়েছি। কোয়ালিটি এক নাম্বার।
120,খারাপ ডেটল সাবান দিয়েছে। কাজ করে না।,0,খারাপ ডেটল-B সাবান-I দিয়েছে। কাজ করে না।
121,১০০% অরিজিনাল ডেটল সাবান পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।,2,১০০% অরিজিনাল ডেটল-B সাবান-I পেয়েছি। প্যাকেজিং খুব ভালো ছিলো।
122,অসাধারণ ডেটল সাবান পেয়েছি। দারাজকে ধন্যবাদ।,2,অসাধারণ ডেটল-B সাবান-I পেয়েছি। দারাজকে ধন্যবাদ।
123,অরিজিনাল ডেটল সাবান পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,অরিজিনাল ডেটল-B সাবান-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
124,ডেটল সাবান টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।,2,ডেটল-B সাবান-I টা এই প্রথম কিনলাম। ব্যবহার করলে বুঝতে পারবো কেমন।
125,অসাধারণ ডেটল সাবান পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,অসাধারণ ডেটল-B সাবান-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
126,আসল ডেটল সাবান পেয়েছি। প্রোডাক্ট আশানুরূপ।,2,আসল ডেটল-B সাবান-I পেয়েছি। প্রোডাক্ট আশানুরূপ।
127,ভালো পণ্য সবাই পছন্দ করে নিতে পারেন। আমি দুইবার নিয়েছি ডেটল সাবান।,2,ভালো পণ্য সবাই পছন্দ করে নিতে পারেন। আমি দুইবার নিয়েছি ডেটল-B সাবান।-I
128,অর্ডার করেছি একটা দিলেন আরেকটা। ডেটল সাবান টা ভুল।,0,অর্ডার করেছি একটা দিলেন আরেকটা। ডেটল-B সাবান-I টা ভুল।
129,মানসম্মত ডেটল সাবান পেয়েছি। সবাই নিতে পারেন।,2,মানসম্মত ডেটল-B সাবান-I পেয়েছি। সবাই নিতে পারেন।
130,নিম্নমানের ডেটল সাবান দিয়েছে। কাজ করে না।,0,নিম্নমানের ডেটল-B সাবান-I দিয়েছে। কাজ করে না।
131,আসল ডেটল সাবান পেয়েছি। আপনারা চাইলে নিতে পারেন।,2,আসল ডেটল-B সাবান-I পেয়েছি। আপনারা চাইলে নিতে পারেন।
132,ভালো পণ্য সবাই পছন্দ করে নিতে পারেন। আমি দুইবার নিয়েছি ডেটল সাবান।,2,ভালো পণ্য সবাই পছন্দ করে নিতে পারেন। আমি দুইবার নিয়েছি ডেটল-B সাবান।-I
133,নকল ডেটল সাবান দিয়েছে। আশা করিনি এমনটা।,0,নকল ডেটল-B সাবান-I দিয়েছে। আশা করিনি এমনটা।
134,ডেটল সাবান টা অল্প দামের মধ্যে ঠিক আছে। খারাপ না।,1,ডেটল-B সাবান-I টা অল্প দামের মধ্যে ঠিক আছে। খারাপ না।
135,"পুরানো ডেটল সাবান দিয়েছে। ছবিতে এক, বাস্তবে আরেক।",0,"পুরানো ডেটল-B সাবান-I দিয়েছে। ছবিতে এক, বাস্তবে আরেক।"
136,সুন্দর ডেটল সাবান পেয়েছি। কোয়ালিটি এক নাম্বার।,2,সুন্দর ডেটল-B সাবান-I পেয়েছি। কোয়ালিটি এক নাম্বার।
137,খুবই ভালো ডেটল সাবান পেয়েছি। সবাই নিতে পারেন।,2,খুবই ভালো ডেটল-B সাবান-I পেয়েছি। সবাই নিতে পারেন।
138,ফালতু ডেটল সাবান দিয়েছে। ডেলিভারি অনেক দেরি করেছে।,0,ফালতু ডেটল-B সাবান-I দিয়েছে। ডেলিভারি অনেক দেরি করেছে।
139,আসল ডেটল সাবান পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।,2,আসল ডেটল-B সাবান-I পেয়েছি। যেমন দেখেছি তেমন পেয়েছি।
