id,review,sentiment,bio_tagged_review
17,"টাকা নষ্ট, ফেস ওয়াশ ভালো কাজ করে না।",0,"টাকা নষ্ট, ফেস-B ওয়াশ-I ভালো কাজ করে না।"
18,ফেস ওয়াশ এর অবস্থা মোটামুটি।,1,ফেস-B ওয়াশ-I এর অবস্থা মোটামুটি।
19,দাম অনুযায়ী ফেস ওয়াশ বেস্ট।,2,দাম অনুযায়ী ফেস-B ওয়াশ-I বেস্ট।
20,"দেখলাম ফেস ওয়াশ, ঠিক আছে।",1,"দেখলাম ফেস-B ওয়াশ-I, ঠিক আছে।"
21,ফেস ওয়াশ ব্যবহার করে জানাবো।,1,ফেস-B ওয়াশ-I ব্যবহার করে জানাবো।
22,সাধারণ ফেস ওয়াশ।,1,সাধারণ ফেস-B ওয়াশ-I।
23,ফেস ওয়াশ ব্যবহার করে জানাবো।,1,ফেস-B ওয়াশ-I ব্যবহার করে জানাবো।
24,ফেস ওয়াশ এর মেয়াদ নেই।,0,ফেস-B ওয়াশ-I এর মেয়াদ নেই।
25,"ডেলিভারি ঠিক ছিল, ফেস ওয়াশ ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ফেস-B ওয়াশ-I ঠিক আছে।"
26,দাম অনুযায়ী ফেস ওয়াশ বেস্ট।,2,দাম অনুযায়ী ফেস-B ওয়াশ-I বেস্ট।
27,"ফেস ওয়াশ এর প্যাকেট খোলা ছিল, হতাশ।",0,"ফেস-B ওয়াশ-I এর প্যাকেট খোলা ছিল, হতাশ।"
28,ফেস ওয়াশ খুব খারাপ।,0,ফেস-B ওয়াশ-I খুব খারাপ।
29,হতাশ ফেস ওয়াশ দেখে।,0,হতাশ ফেস-B ওয়াশ-I দেখে।
30,ফেস ওয়াশ খুব খারাপ।,0,ফেস-B ওয়াশ-I খুব খারাপ।
31,ফেস ওয়াশ এর মেয়াদ নেই।,0,ফেস-B ওয়াশ-I এর মেয়াদ নেই।
32,ফেস ওয়াশ এর অবস্থা মোটামুটি।,1,ফেস-B ওয়াশ-I এর অবস্থা মোটামুটি।
33,ঠিকমতো ফেস ওয়াশ পাইনি।,0,ঠিকমতো ফেস-B ওয়াশ-I পাইনি।
34,ঠিক আছে ফেস ওয়াশ।,1,ঠিক আছে ফেস-B ওয়াশ-I।
35,"দেখলাম ফেস ওয়াশ, ঠিক আছে।",1,"দেখলাম ফেস-B ওয়াশ-I, ঠিক আছে।"
36,সবাই নিতে পারেন ফেস ওয়াশ।,2,সবাই নিতে পারেন ফেস-B ওয়াশ-I।
37,ফেস ওয়াশ এর প্যাকিং ভালো।,1,ফেস-B ওয়াশ-I এর প্যাকিং ভালো।
38,ফেস ওয়াশ ভালো না।,0,ফেস-B ওয়াশ-I ভালো না।
39,ফেস ওয়াশ নকল মনে হচ্ছে।,0,ফেস-B ওয়াশ-I নকল মনে হচ্ছে।
40,মাঝারি মানের ফেস ওয়াশ।,1,মাঝারি মানের ফেস-B ওয়াশ-I।
41,অনেক ভালো ফেস ওয়াশ।,2,অনেক ভালো ফেস-B ওয়াশ-I।
42,ঠিক আছে ফেস ওয়াশ।,1,ঠিক আছে ফেস-B ওয়াশ-I।
43,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
44,ঠিকমতো ফেস ওয়াশ পাইনি।,0,ঠিকমতো ফেস-B ওয়াশ-I পাইনি।
45,ফেস ওয়াশ এর মান খুব ভালো।,2,ফেস-B ওয়াশ-I এর মান খুব ভালো।
46,ফেস ওয়াশ এর প্যাকিং ভালো।,1,ফেস-B ওয়াশ-I এর প্যাকিং ভালো।
47,হতাশ ফেস ওয়াশ দেখে।,0,হতাশ ফেস-B ওয়াশ-I দেখে।
48,খুব ভালো ফেস ওয়াশ!,2,খুব ভালো ফেস-B ওয়াশ-I!
49,ঠিক আছে ফেস ওয়াশ।,1,ঠিক আছে ফেস-B ওয়াশ-I।
50,ফেস ওয়াশ খুব খারাপ।,0,ফেস-B ওয়াশ-I খুব খারাপ।
51,ফেস ওয়াশ ভালো না।,0,ফেস-B ওয়াশ-I ভালো না।
52,"দেখলাম ফেস ওয়াশ, ঠিক আছে।",1,"দেখলাম ফেস-B ওয়াশ-I, ঠিক আছে।"
53,ফেস ওয়াশ এর প্যাকিং ভালো।,1,ফেস-B ওয়াশ-I এর প্যাকিং ভালো।
54,হাতে পেলাম ফেস ওয়াশ।,1,হাতে পেলাম ফেস-B ওয়াশ-I।
55,"ফেস ওয়াশ হাতে পেয়েছি, ধন্যবাদ।",1,"ফেস-B ওয়াশ-I হাতে পেয়েছি, ধন্যবাদ।"
56,মাঝারি মানের ফেস ওয়াশ।,1,মাঝারি মানের ফেস-B ওয়াশ-I।
57,ফেস ওয়াশ এর মান খুব ভালো।,2,ফেস-B ওয়াশ-I এর মান খুব ভালো।
58,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
59,ফেস ওয়াশ খুব ভালো কাজ করে।,2,ফেস-B ওয়াশ-I খুব ভালো কাজ করে।
60,ফেস ওয়াশ খুব ভালো কাজ করে।,2,ফেস-B ওয়াশ-I খুব ভালো কাজ করে।
61,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
62,ফেস ওয়াশ এর অবস্থা মোটামুটি।,1,ফেস-B ওয়াশ-I এর অবস্থা মোটামুটি।
63,দাম অনুযায়ী ফেস ওয়াশ বেস্ট।,2,দাম অনুযায়ী ফেস-B ওয়াশ-I বেস্ট।
64,সাধারণ ফেস ওয়াশ।,1,সাধারণ ফেস-B ওয়াশ-I।
65,"টাকা নষ্ট, ফেস ওয়াশ ভালো কাজ করে না।",0,"টাকা নষ্ট, ফেস-B ওয়াশ-I ভালো কাজ করে না।"
66,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
67,অনেক ভালো ফেস ওয়াশ।,2,অনেক ভালো ফেস-B ওয়াশ-I।
68,দাম অনুযায়ী ফেস ওয়াশ বেস্ট।,2,দাম অনুযায়ী ফেস-B ওয়াশ-I বেস্ট।
69,ফেস ওয়াশ এর অবস্থা মোটামুটি।,1,ফেস-B ওয়াশ-I এর অবস্থা মোটামুটি।
70,হাতে পেলাম ফেস ওয়াশ।,1,হাতে পেলাম ফেস-B ওয়াশ-I।
71,ফেস ওয়াশ এর প্যাকিং ভালো।,1,ফেস-B ওয়াশ-I এর প্যাকিং ভালো।
72,ঠিকমতো ফেস ওয়াশ পাইনি।,0,ঠিকমতো ফেস-B ওয়াশ-I পাইনি।
73,দারাজকে ধন্যবাদ ফেস ওয়াশ এর জন্য।,2,দারাজকে ধন্যবাদ ফেস-B ওয়াশ-I এর জন্য।
74,দাম অনুযায়ী ফেস ওয়াশ বেস্ট।,2,দাম অনুযায়ী ফেস-B ওয়াশ-I বেস্ট।
75,ফেস ওয়াশ একদম ফালতু।,0,ফেস-B ওয়াশ-I একদম ফালতু।
76,"ফেস ওয়াশ হাতে পেয়েছি, ধন্যবাদ।",1,"ফেস-B ওয়াশ-I হাতে পেয়েছি, ধন্যবাদ।"
77,"ডেলিভারি ঠিক ছিল, ফেস ওয়াশ ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ফেস-B ওয়াশ-I ঠিক আছে।"
78,ফেস ওয়াশ ব্যবহার করে জানাবো।,1,ফেস-B ওয়াশ-I ব্যবহার করে জানাবো।
79,ফেস ওয়াশ এর প্যাকিং ভালো।,1,ফেস-B ওয়াশ-I এর প্যাকিং ভালো।
80,"ধন্যবাদ, ফেস ওয়াশ খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ফেস-B ওয়াশ-I খুব কাজে দিয়েছে।"
81,ফেস ওয়াশ খুব খারাপ।,0,ফেস-B ওয়াশ-I খুব খারাপ।
82,খারাপ সার্ভিস ফেস ওয়াশ এর জন্য।,0,খারাপ সার্ভিস ফেস-B ওয়াশ-I এর জন্য।
83,সাধারণ ফেস ওয়াশ।,1,সাধারণ ফেস-B ওয়াশ-I।
84,মাঝারি মানের ফেস ওয়াশ।,1,মাঝারি মানের ফেস-B ওয়াশ-I।
85,মাঝারি মানের ফেস ওয়াশ।,1,মাঝারি মানের ফেস-B ওয়াশ-I।
86,দারাজকে ধন্যবাদ ফেস ওয়াশ এর জন্য।,2,দারাজকে ধন্যবাদ ফেস-B ওয়াশ-I এর জন্য।
87,খারাপ সার্ভিস ফেস ওয়াশ এর জন্য।,0,খারাপ সার্ভিস ফেস-B ওয়াশ-I এর জন্য।
88,খারাপ সার্ভিস ফেস ওয়াশ এর জন্য।,0,খারাপ সার্ভিস ফেস-B ওয়াশ-I এর জন্য।
89,"ফেস ওয়াশ এর প্যাকেট খোলা ছিল, হতাশ।",0,"ফেস-B ওয়াশ-I এর প্যাকেট খোলা ছিল, হতাশ।"
90,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
91,সাধারণ ফেস ওয়াশ।,1,সাধারণ ফেস-B ওয়াশ-I।
92,ফেস ওয়াশ এর অবস্থা মোটামুটি।,1,ফেস-B ওয়াশ-I এর অবস্থা মোটামুটি।
93,হাতে পেলাম ফেস ওয়াশ।,1,হাতে পেলাম ফেস-B ওয়াশ-I।
94,ফেস ওয়াশ খুব খারাপ।,0,ফেস-B ওয়াশ-I খুব খারাপ।
95,"টাকা নষ্ট, ফেস ওয়াশ ভালো কাজ করে না।",0,"টাকা নষ্ট, ফেস-B ওয়াশ-I ভালো কাজ করে না।"
96,অনেক ভালো ফেস ওয়াশ।,2,অনেক ভালো ফেস-B ওয়াশ-I।
97,হাতে পেলাম ফেস ওয়াশ।,1,হাতে পেলাম ফেস-B ওয়াশ-I।
98,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
99,মাঝারি মানের ফেস ওয়াশ।,1,মাঝারি মানের ফেস-B ওয়াশ-I।
100,"ফেস ওয়াশ টা অসাধারণ, সবাই নিতে পারেন।",2,"ফেস-B ওয়াশ-I টা অসাধারণ, সবাই নিতে পারেন।"
101,ডেটল সাবান খুব ভালো কাজ করে।,2,ডেটল-B সাবান-I খুব ভালো কাজ করে।
102,অনেক ভালো ডেটল সাবান।,2,অনেক ভালো ডেটল-B সাবান-I।
103,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
104,ডেটল সাবান এর প্যাকিং ভালো।,1,ডেটল-B সাবান-I এর প্যাকিং ভালো।
105,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
106,"ডেটল সাবান টা অসাধারণ, সবাই নিতে পারেন।",2,"ডেটল-B সাবান-I টা অসাধারণ, সবাই নিতে পারেন।"
107,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
108,হাতে পেলাম ডেটল সাবান।,1,হাতে পেলাম ডেটল-B সাবান-I।
109,দারাজকে ধন্যবাদ ডেটল সাবান এর জন্য।,2,দারাজকে ধন্যবাদ ডেটল-B সাবান-I এর জন্য।
110,দারাজকে ধন্যবাদ ডেটল সাবান এর জন্য।,2,দারাজকে ধন্যবাদ ডেটল-B সাবান-I এর জন্য।
111,"ধন্যবাদ, ডেটল সাবান খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ডেটল-B সাবান-I খুব কাজে দিয়েছে।"
112,ডেটল সাবান ভালো না।,0,ডেটল-B সাবান-I ভালো না।
113,"ডেটল সাবান হাতে পেয়েছি, ধন্যবাদ।",1,"ডেটল-B সাবান-I হাতে পেয়েছি, ধন্যবাদ।"
114,দারাজকে ধন্যবাদ ডেটল সাবান এর জন্য।,2,দারাজকে ধন্যবাদ ডেটল-B সাবান-I এর জন্য।
115,"দেখলাম ডেটল সাবান, ঠিক আছে।",1,"দেখলাম ডেটল-B সাবান-I, ঠিক আছে।"
116,সবাই নিতে পারেন ডেটল সাবান।,2,সবাই নিতে পারেন ডেটল-B সাবান-I।
117,ডেটল সাবান খুব ভালো কাজ করে।,2,ডেটল-B সাবান-I খুব ভালো কাজ করে।
118,"ডেটল সাবান টা অসাধারণ, সবাই নিতে পারেন।",2,"ডেটল-B সাবান-I টা অসাধারণ, সবাই নিতে পারেন।"
119,সবাই নিতে পারেন ডেটল সাবান।,2,সবাই নিতে পারেন ডেটল-B সাবান-I।
120,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
121,হতাশ ডেটল সাবান দেখে।,0,হতাশ ডেটল-B সাবান-I দেখে।
122,দাম অনুযায়ী ডেটল সাবান বেস্ট।,2,দাম অনুযায়ী ডেটল-B সাবান-I বেস্ট।
123,ডেটল সাবান একদম ফালতু।,0,ডেটল-B সাবান-I একদম ফালতু।
124,অনেক ভালো ডেটল সাবান।,2,অনেক ভালো ডেটল-B সাবান-I।
125,ডেটল সাবান খুব খারাপ।,0,ডেটল-B সাবান-I খুব খারাপ।
126,দাম অনুযায়ী ডেটল সাবান বেস্ট।,2,দাম অনুযায়ী ডেটল-B সাবান-I বেস্ট।
127,"ধন্যবাদ, ডেটল সাবান খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ডেটল-B সাবান-I খুব কাজে দিয়েছে।"
128,ডেটল সাবান এর মান খুব ভালো।,2,ডেটল-B সাবান-I এর মান খুব ভালো।
129,সবাই নিতে পারেন ডেটল সাবান।,2,সবাই নিতে পারেন ডেটল-B সাবান-I।
130,"ডেটল সাবান এর প্যাকেট খোলা ছিল, হতাশ।",0,"ডেটল-B সাবান-I এর প্যাকেট খোলা ছিল, হতাশ।"
131,ডেটল সাবান নকল মনে হচ্ছে।,0,ডেটল-B সাবান-I নকল মনে হচ্ছে।
132,খুব ভালো ডেটল সাবান!,2,খুব ভালো ডেটল-B সাবান-I!
133,খুব ভালো ডেটল সাবান!,2,খুব ভালো ডেটল-B সাবান-I!
134,অরিজিনাল ডেটল সাবান পেয়ে খুশি।,2,অরিজিনাল ডেটল-B সাবান-I পেয়ে খুশি।
135,মাঝারি মানের ডেটল সাবান।,1,মাঝারি মানের ডেটল-B সাবান-I।
136,সবাই নিতে পারেন ডেটল সাবান।,2,সবাই নিতে পারেন ডেটল-B সাবান-I।
137,ডেটল সাবান খুব খারাপ।,0,ডেটল-B সাবান-I খুব খারাপ।
138,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
139,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
140,ডেটল সাবান এর প্যাকিং ভালো।,1,ডেটল-B সাবান-I এর প্যাকিং ভালো।
141,ডেটল সাবান খুব ভালো কাজ করে।,2,ডেটল-B সাবান-I খুব ভালো কাজ করে।
142,ডেটল সাবান এর প্যাকিং ভালো।,1,ডেটল-B সাবান-I এর প্যাকিং ভালো।
143,"ডেলিভারি ঠিক ছিল, ডেটল সাবান ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ডেটল-B সাবান-I ঠিক আছে।"
144,"ডেটল সাবান এর প্যাকেট খোলা ছিল, হতাশ।",0,"ডেটল-B সাবান-I এর প্যাকেট খোলা ছিল, হতাশ।"
145,ডেটল সাবান একদম ফালতু।,0,ডেটল-B সাবান-I একদম ফালতু।
146,দাম অনুযায়ী ডেটল সাবান বেস্ট।,2,দাম অনুযায়ী ডেটল-B সাবান-I বেস্ট।
147,ডেটল সাবান এর প্যাকিং ভালো।,1,ডেটল-B সাবান-I এর প্যাকিং ভালো।
148,দাম অনুযায়ী ডেটল সাবান বেস্ট।,2,দাম অনুযায়ী ডেটল-B সাবান-I বেস্ট।
149,অনেক ভালো ডেটল সাবান।,2,অনেক ভালো ডেটল-B সাবান-I।
150,"ডেটল সাবান এর প্যাকেট খোলা ছিল, হতাশ।",0,"ডেটল-B সাবান-I এর প্যাকেট খোলা ছিল, হতাশ।"
151,অরিজিনাল ডেটল সাবান পেয়ে খুশি।,2,অরিজিনাল ডেটল-B সাবান-I পেয়ে খুশি।
152,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
153,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
154,অরিজিনাল ডেটল সাবান পেয়ে খুশি।,2,অরিজিনাল ডেটল-B সাবান-I পেয়ে খুশি।
155,"ডেটল সাবান হাতে পেয়েছি, ধন্যবাদ।",1,"ডেটল-B সাবান-I হাতে পেয়েছি, ধন্যবাদ।"
156,ডেটল সাবান ভালো না।,0,ডেটল-B সাবান-I ভালো না।
157,ডেটল সাবান এর মান খুব ভালো।,2,ডেটল-B সাবান-I এর মান খুব ভালো।
158,ডেটল সাবান একদম ফালতু।,0,ডেটল-B সাবান-I একদম ফালতু।
159,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
160,ডেটল সাবান এর প্যাকিং ভালো।,1,ডেটল-B সাবান-I এর প্যাকিং ভালো।
161,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
162,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
163,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
164,সবাই নিতে পারেন ডেটল সাবান।,2,সবাই নিতে পারেন ডেটল-B সাবান-I।
165,"ধন্যবাদ, ডেটল সাবান খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ডেটল-B সাবান-I খুব কাজে দিয়েছে।"
166,দারাজকে ধন্যবাদ ডেটল সাবান এর জন্য।,2,দারাজকে ধন্যবাদ ডেটল-B সাবান-I এর জন্য।
167,মাঝারি মানের ডেটল সাবান।,1,মাঝারি মানের ডেটল-B সাবান-I।
168,"ডেটল সাবান হাতে পেয়েছি, ধন্যবাদ।",1,"ডেটল-B সাবান-I হাতে পেয়েছি, ধন্যবাদ।"
169,অরিজিনাল ডেটল সাবান পেয়ে খুশি।,2,অরিজিনাল ডেটল-B সাবান-I পেয়ে খুশি।
170,"ডেটল সাবান টা অসাধারণ, সবাই নিতে পারেন।",2,"ডেটল-B সাবান-I টা অসাধারণ, সবাই নিতে পারেন।"
171,হতাশ ডেটল সাবান দেখে।,0,হতাশ ডেটল-B সাবান-I দেখে।
172,সাধারণ ডেটল সাবান।,1,সাধারণ ডেটল-B সাবান-I।
173,ডেটল সাবান ভালো না।,0,ডেটল-B সাবান-I ভালো না।
174,ডেটল সাবান খুব খারাপ।,0,ডেটল-B সাবান-I খুব খারাপ।
175,ডেটল সাবান খুব খারাপ।,0,ডেটল-B সাবান-I খুব খারাপ।
176,মাঝারি মানের ডেটল সাবান।,1,মাঝারি মানের ডেটল-B সাবান-I।
177,হাতে পেলাম ডেটল সাবান।,1,হাতে পেলাম ডেটল-B সাবান-I।
178,ডেটল সাবান এর মেয়াদ নেই।,0,ডেটল-B সাবান-I এর মেয়াদ নেই।
179,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
180,"ডেটল সাবান এর প্যাকেট খোলা ছিল, হতাশ।",0,"ডেটল-B সাবান-I এর প্যাকেট খোলা ছিল, হতাশ।"
181,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
182,অনেক ভালো ডেটল সাবান।,2,অনেক ভালো ডেটল-B সাবান-I।
183,ডেটল সাবান এর মেয়াদ নেই।,0,ডেটল-B সাবান-I এর মেয়াদ নেই।
184,"টাকা নষ্ট, ডেটল সাবান ভালো কাজ করে না।",0,"টাকা নষ্ট, ডেটল-B সাবান-I ভালো কাজ করে না।"
185,"ডেলিভারি ঠিক ছিল, ডেটল সাবান ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ডেটল-B সাবান-I ঠিক আছে।"
186,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
187,দাম অনুযায়ী ডেটল সাবান বেস্ট।,2,দাম অনুযায়ী ডেটল-B সাবান-I বেস্ট।
188,ডেটল সাবান খুব ভালো কাজ করে।,2,ডেটল-B সাবান-I খুব ভালো কাজ করে।
189,"ডেটল সাবান টা অসাধারণ, সবাই নিতে পারেন।",2,"ডেটল-B সাবান-I টা অসাধারণ, সবাই নিতে পারেন।"
190,ডেটল সাবান এর মেয়াদ নেই।,0,ডেটল-B সাবান-I এর মেয়াদ নেই।
191,"ডেটল সাবান টা অসাধারণ, সবাই নিতে পারেন।",2,"ডেটল-B সাবান-I টা অসাধারণ, সবাই নিতে পারেন।"
192,অনেক ভালো ডেটল সাবান।,2,অনেক ভালো ডেটল-B সাবান-I।
193,"ডেটল সাবান হাতে পেয়েছি, ধন্যবাদ।",1,"ডেটল-B সাবান-I হাতে পেয়েছি, ধন্যবাদ।"
194,ঠিকমতো ডেটল সাবান পাইনি।,0,ঠিকমতো ডেটল-B সাবান-I পাইনি।
195,ডেটল সাবান এর অবস্থা মোটামুটি।,1,ডেটল-B সাবান-I এর অবস্থা মোটামুটি।
196,ডেটল সাবান ভালো না।,0,ডেটল-B সাবান-I ভালো না।
197,ডেটল সাবান ভালো না।,0,ডেটল-B সাবান-I ভালো না।
198,ঠিক আছে ডেটল সাবান।,1,ঠিক আছে ডেটল-B সাবান-I।
199,"ডেটল সাবান হাতে পেয়েছি, ধন্যবাদ।",1,"ডেটল-B সাবান-I হাতে পেয়েছি, ধন্যবাদ।"
200,দারাজকে ধন্যবাদ ডেটল সাবান এর জন্য।,2,দারাজকে ধন্যবাদ ডেটল-B সাবান-I এর জন্য।
201,ফেসমাস্ক ভালো না।,0,ফেসমাস্ক-B ভালো না।
202,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক-B ঠিক আছে।"
203,"ফেসমাস্ক হাতে পেয়েছি, ধন্যবাদ।",1,"ফেসমাস্ক-B হাতে পেয়েছি, ধন্যবাদ।"
204,হাতে পেলাম ফেসমাস্ক।,1,হাতে পেলাম ফেসমাস্ক-B।
205,"ফেসমাস্ক এর প্যাকেট খোলা ছিল, হতাশ।",0,"ফেসমাস্ক-B এর প্যাকেট খোলা ছিল, হতাশ।"
206,"ফেসমাস্ক এর প্যাকেট খোলা ছিল, হতাশ।",0,"ফেসমাস্ক-B এর প্যাকেট খোলা ছিল, হতাশ।"
207,ফেসমাস্ক এর প্যাকিং ভালো।,1,ফেসমাস্ক-B এর প্যাকিং ভালো।
208,সবাই নিতে পারেন ফেসমাস্ক।,2,সবাই নিতে পারেন ফেসমাস্ক-B।
209,ফেসমাস্ক এর অবস্থা মোটামুটি।,1,ফেসমাস্ক-B এর অবস্থা মোটামুটি।
210,দারাজকে ধন্যবাদ ফেসমাস্ক এর জন্য।,2,দারাজকে ধন্যবাদ ফেসমাস্ক-B এর জন্য।
211,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক-B ঠিক আছে।"
212,"দেখলাম ফেসমাস্ক, ঠিক আছে।",1,"দেখলাম ফেসমাস্ক-B, ঠিক আছে।"
213,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক ঠিক আছে।",1,"ডেলিভারি ঠিক ছিল, ফেসমাস্ক-B ঠিক আছে।"
214,"ধন্যবাদ, ফেসমাস্ক খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ফেসমাস্ক-B খুব কাজে দিয়েছে।"
215,ফেসমাস্ক একদম ফালতু।,0,ফেসমাস্ক-B একদম ফালতু।
216,দাম অনুযায়ী ফেসমাস্ক বেস্ট।,2,দাম অনুযায়ী ফেসমাস্ক-B বেস্ট।
217,সবাই নিতে পারেন ফেসমাস্ক।,2,সবাই নিতে পারেন ফেসমাস্ক-B।
218,সাধারণ ফেসমাস্ক।,1,সাধারণ ফেসমাস্ক-B।
219,দারাজকে ধন্যবাদ ফেসমাস্ক এর জন্য।,2,দারাজকে ধন্যবাদ ফেসমাস্ক-B এর জন্য।
220,হাতে পেলাম ফেসমাস্ক।,1,হাতে পেলাম ফেসমাস্ক-B।
221,"ধন্যবাদ, ফেসমাস্ক খুব কাজে দিয়েছে।",2,"ধন্যবাদ, ফেসমাস্ক-B খুব কাজে দিয়েছে।"
222,ফেসমাস্ক খুব ভালো কাজ করে।,2,ফেসমাস্ক-B খুব ভালো কাজ করে।
223,ফেসমাস্ক ভালো না।,0,ফেসমাস্ক-B ভালো না।
224,সাধারণ ফেসমাস্ক।,1,সাধারণ ফেসমাস্ক-B।
225,খারাপ সার্ভিস ফেসমাস্ক এর জন্য।,0,খারাপ সার্ভিস ফেসমাস্ক-B এর জন্য।
226,ফেসমাস্ক খুব খারাপ।,0,ফেসমাস্ক-B খুব খারাপ।
227,ফেসমাস্ক খুব ভালো কাজ করে।,2,ফেসমাস্ক-B খুব ভালো কাজ করে।
228,হাতে পেলাম ফেসমাস্ক।,1,হাতে পেলাম ফেসমাস্ক-B।
